sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,decision_weeks,consulted_weeks,weighed_weeks,banked_weeks,free_at_decision,band_ready_weeks,band_moves,band_run_moves,band_worse_moves,band_exposure,ftv_weeks,ftv_priced_weeks,ftv_gate_calls,ftv_flips,ftv_mean_charge,ftv_mean_load,wc_trig_offered,wc_trig_weeks,wc_trig_weighed,wc_trig_gw,wc_trig_value,wc_trig_bar,bb_trig_offered,bb_trig_weeks,bb_trig_weighed,bb_trig_gw,bb_trig_value,bb_trig_bar,fh_trig_offered,fh_trig_weeks,fh_trig_weighed,fh_trig_gw,fh_trig_value,fh_trig_bar,prep_weeks,prep_credit_weeks,prep_bench_sum,prep_captain_sum,dose_act_doubles,dose_act_blanks,dose_late_doubles,dose_late_blanks,floor_flips_le28,floor_flips_gt28,bench_boost_gw,bench_boost_pts,triple_captain_gw,triple_captain_pts,bench_boost_oracle_gw,bench_boost_oracle_pts,bench_boost_median_pts,bench_boost_threshold_pts,bench_boost_bar_pts,triple_captain_oracle_gw,triple_captain_oracle_pts,triple_captain_median_pts,triple_captain_threshold_pts,triple_captain_bar_pts,hold_xpoints,hold_xpoints_per_gw,policy_xpoints,policy_xpoints_per_gw,setting,min_expected_minutes,squad_hash,oracle,oracle_kind
ANCHORED#1,1787701577-1593720,chips at fixed offsets from entry,0,true,2020-21,2019-20,1,38,5,false,2050,1628,42,5,53.94736842105263,42.8421052631579,,,,,,,1628,42.8421052631579,1388,36.526315789473685,36,0,,,1.3611111111111112,32,37,18,6,24,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,43,40,43,40,0,0,7,1,14,5,,,,,,,,,,,1629.8410135822319,42.8905529890061,2104.437756821514,55.37994096898721,,55,98b82c09e797,-,none
ANCHORED#1,1787701577-1593720,chips at fixed offsets from entry,0,true,2021-22,2020-21,1,38,5,false,2278,1896,42,5,59.94736842105263,49.89473684210526,,,,,,,1941,51.078947368421055,1646,43.31578947368421,36,0,,,1.5,32,39,14,15,-7,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,61,61,61,61,0,0,7,7,14,15,,,,,,,,,,,1900.8006137807054,50.02106878370277,2284.8697080003158,60.12815021053463,,55,afeb5fe71ddc,-,none
ANCHORED#1,1787701577-1593720,chips at fixed offsets from entry,0,true,2022-23,2021-22,1,38,5,false,2074,1842,39,2,54.578947368421055,48.473684210526315,,,,,,,1845,48.55263157894737,1582,41.63157894736842,36,0,,,1.75,32,35,16,7,22,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,42,22,42,22,0,0,7,0,14,1,,,,,,,,,,,1851.9591496843016,48.73576709695531,2085.2585037908957,54.87522378397094,,55,fe5b3efc1102,-,none
ANCHORED#1,1787701577-1593720,chips at fixed offsets from entry,0,true,2023-24,2022-23,1,38,5,false,2379,1806,40,3,62.60526315789474,47.526315789473685,,,,,,,1780,46.8421052631579,1569,41.28947368421053,36,0,,,1.6111111111111112,32,36,16,9,13,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,23,23,23,21,0,0,7,1,14,5,,,,,,,,,,,1847.281228959663,48.61266391999113,2323.928877773734,61.15602309930878,,55,7df5f95f1759,-,none
ANCHORED#1,1787701577-1593720,chips at fixed offsets from entry,0,true,2024-25,2023-24,1,38,5,false,2444,1908,38,1,64.3157894736842,50.21052631578947,,,,,,,1890,49.73684210526316,1708,44.94736842105263,36,0,,,1.8333333333333333,32,33,14,9,11,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,7,2,0,0,,,,,,,,,,,1984.839567078322,52.23262018627163,2330.713054659753,61.33455406999351,,55,d0f719155ebc,-,none
ANCHORED#1,1787701577-1593720,chips at fixed offsets from entry,0,true,2025-26,2024-25,1,38,5,false,2183,1523,35,1,57.44736842105263,40.078947368421055,,,,,,,1529,40.23684210526316,1375,36.18421052631579,36,0,,,1.3888888888888888,32,30,9,8,-5,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,7,2,0,0,,,,,,,,,,,1583.8646329653097,41.680648235929205,2109.0447645869403,55.501178015445795,,55,cdb305de770a,-,none
ANCHORED#1,1787701577-1593720,chips at fixed offsets from entry,0,true,2020-21,2019-20,6,33,5,false,1764,1472,35,4,53.45454545454545,44.60606060606061,,,,,,,1475,44.696969696969695,1289,39.06060606060606,31,0,,,1.2903225806451613,31,35,12,11,1,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,43,40,43,40,0,0,12,0,19,8,,,,,,,,,,,1534.394651048999,46.49680760754543,1817.9765190309836,55.09019754639344,,55,97ea61125f1b,-,none
ANCHORED#1,1787701577-1593720,chips at fixed offsets from entry,0,true,2021-22,2020-21,6,33,5,false,1848,1574,38,6,56,47.696969696969695,,,,,,,1610,48.78787878787879,1365,41.36363636363637,31,0,,,1.1935483870967742,31,38,9,11,-5,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,61,61,61,61,0,0,12,6,19,0,,,,,,,,,,,1609.57570800674,48.77502145474969,1938.422712646498,58.74008220140903,,55,0e990ffa7a1d,-,none
ANCHORED#1,1787701577-1593720,chips at fixed offsets from entry,0,true,2022-23,2021-22,6,33,5,false,1854,1593,32,0,56.18181818181818,48.27272727272727,,,,,,,1532,46.42424242424242,1404,42.54545454545455,31,0,,,1.967741935483871,31,32,16,5,13,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,42,22,42,16,0,0,12,0,19,2,,,,,,,,,,,1557.4285121108142,47.1948033972974,1860.4163173618624,56.37625204126856,,55,4d36c0997487,-,none
ANCHORED#1,1787701577-1593720,chips at fixed offsets from entry,0,true,2023-24,2022-23,6,33,5,false,2107,1724,33,2,63.84848484848485,52.24242424242424,,,,,,,1702,51.57575757575758,1484,44.96969696969697,31,0,,,1.967741935483871,31,33,12,13,4,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,23,21,21,21,0,0,12,0,19,3,,,,,,,,,,,1721.7944263935356,52.175588678591986,2079.864593378498,63.02619979934842,,55,a4cd558c8a6c,-,none
ANCHORED#1,1787701577-1593720,chips at fixed offsets from entry,0,true,2024-25,2023-24,6,33,5,false,1940,1744,29,1,58.78787878787879,52.84848484848485,,,,,,,1641,49.72727272727273,1485,45,31,0,,,2.096774193548387,31,29,15,5,21,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,12,1,0,0,,,,,,,,,,,1754.9002266108062,53.17879474578201,1975.6457021276449,59.8680515796256,,55,7d06f846b27d,-,none
ANCHORED#1,1787701577-1593720,chips at fixed offsets from entry,0,true,2025-26,2024-25,6,33,5,false,1923,1743,30,1,58.27272727272727,52.81818181818182,,,,,,,1663,50.39393939393939,1547,46.878787878787875,31,0,,,1.935483870967742,31,30,6,9,-5,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,12,0,0,0,,,,,,,,,,,1697.4225268293555,51.43704626755623,1871.611251557443,56.71549247143766,,55,135d9da53c17,-,none
ANCHORED#1,1787701577-1593720,chips at fixed offsets from entry,0,true,2020-21,2019-20,11,28,5,false,1539,1207,28,1,54.964285714285715,43.107142857142854,,,,,,,1202,42.92857142857143,1038,37.07142857142857,26,0,,,1.5769230769230769,26,28,11,9,7,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,43,38,43,38,0,0,17,0,24,9,,,,,,,,,,,1314.8475773872626,46.95884204954509,1595.9402381701032,56.997865648932255,,55,5babbe645ffb,-,none
ANCHORED#1,1787701577-1593720,chips at fixed offsets from entry,0,true,2021-22,2020-21,11,28,5,false,1718,1617,36,9,61.357142857142854,57.75,,,,,,,1645,58.75,1457,52.035714285714285,26,0,,,1.3461538461538463,26,36,20,4,19,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,61,61,61,59,0,0,17,0,24,6,,,,,,,,,,,1633.6274253300003,58.343836618928584,1727.846831260861,61.70881540217361,,55,6ae53959ac30,-,none
ANCHORED#1,1787701577-1593720,chips at fixed offsets from entry,0,true,2022-23,2021-22,11,28,5,false,1663,1501,27,1,59.392857142857146,53.607142857142854,,,,,,,1440,51.42857142857143,1317,47.035714285714285,26,0,,,2.6538461538461537,26,27,13,4,18,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,42,16,42,14,0,0,17,0,24,6,,,,,,,,,,,1466.7078012475051,52.382421473125184,1642.7100806194942,58.66821716498193,,55,7db449dfa863,-,none
ANCHORED#1,1787701577-1593720,chips at fixed offsets from entry,0,true,2023-24,2022-23,11,28,5,false,1702,1428,29,1,60.785714285714285,51,,,,,,,1405,50.17857142857143,1247,44.535714285714285,26,0,,,1.8076923076923077,26,29,10,7,1,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,21,21,21,21,0,0,17,0,24,15,,,,,,,,,,,1416.7846694489685,50.5994524803203,1737.4613438640915,62.05219085228898,,55,2a84996b516a,-,none
ANCHORED#1,1787701577-1593720,chips at fixed offsets from entry,0,true,2024-25,2023-24,11,28,5,false,1829,1681,28,2,65.32142857142857,60.035714285714285,,,,,,,1681,60.035714285714285,1412,50.42857142857143,26,0,,,1.4615384615384615,26,28,12,11,6,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,8,0,0,17,1,0,0,,,,,,,,,,,1648.6369668324785,58.87989167258852,1750.921397427368,62.53290705097743,,55,a6e9f92d83f6,-,none
ANCHORED#1,1787701577-1593720,chips at fixed offsets from entry,0,true,2025-26,2024-25,11,28,5,false,1518,1444,26,1,54.214285714285715,51.57142857142857,,,,,,,1416,50.57142857142857,1259,44.964285714285715,26,0,,,1.4230769230769231,26,26,9,8,-3,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,17,0,0,0,,,,,,,,,,,1420.3707344105421,50.72752622894793,1505.4830063958484,53.76725022842316,,55,71a4b81a55e0,-,none
ANCHORED#1,1787701577-1593720,chips at fixed offsets from entry,0,true,2020-21,2019-20,16,23,5,false,1224,1114,23,1,53.21739130434783,48.43478260869565,,,,,,,1080,46.95652173913044,967,42.04347826086956,21,0,,,1.380952380952381,21,23,4,8,-7,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,43,34,32,23,0,0,22,6,29,0,,,,,,,,,,,1173.5640425756817,51.02452359024703,1291.9451558826765,56.17152851663811,,55,de8a604a1657,-,none
ANCHORED#1,1787701577-1593720,chips at fixed offsets from entry,0,true,2021-22,2020-21,16,23,5,false,1281,1177,28,6,55.69565217391305,51.17391304347826,,,,,,,1195,51.95652173913044,1070,46.52173913043478,21,0,,,1.3333333333333333,21,28,12,6,9,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,61,57,61,27,0,0,22,0,29,10,,,,,,,,,,,1236.9240292167237,53.77930561811842,1372.9509285068523,59.693518630732704,,55,35526a2ffafc,-,none
ANCHORED#1,1787701577-1593720,chips at fixed offsets from entry,0,true,2022-23,2021-22,16,23,5,false,1440,1122,22,0,62.608695652173914,48.78260869565217,,,,,,,1061,46.130434782608695,954,41.47826086956522,21,0,,,1.8095238095238095,21,22,8,3,4,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,42,14,36,14,0,0,22,0,29,7,,,,,,,,,,,1112.8111678776331,48.38309425554927,1429.1244059901328,62.135843738701425,,55,65d58aa0e3ae,-,none
ANCHORED#1,1787701577-1593720,chips at fixed offsets from entry,0,true,2023-24,2022-23,16,23,5,false,1420,1085,23,2,61.73913043478261,47.17391304347826,,,,,,,1085,47.17391304347826,934,40.608695652173914,21,0,,,1.5714285714285714,21,23,11,4,13,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,21,21,21,17,0,0,22,0,29,2,,,,,,,,,,,1100.0328547404902,47.82751542349957,1417.5197436243288,61.63129320105777,,55,291eebc880a2,-,none
ANCHORED#1,1787701577-1593720,chips at fixed offsets from entry,0,true,2024-25,2023-24,16,23,5,false,1470,1367,19,1,63.91304347826087,59.43478260869565,,,,,,,1367,59.43478260869565,1174,51.04347826086956,21,0,,,3.0476190476190474,21,19,6,5,6,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,8,10,8,0,0,22,0,0,0,,,,,,,,,,,1409.2322184264299,61.27096601854043,1479.8628926098845,64.34186489608193,,55,0a92238fc17e,-,none
ANCHORED#1,1787701577-1593720,chips at fixed offsets from entry,0,true,2025-26,2024-25,16,23,5,false,1240,1307,20,1,53.91304347826087,56.82608695652174,,,,,,,1308,56.869565217391305,1146,49.82608695652174,21,0,,,1.7142857142857142,21,20,6,3,4,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,22,1,0,0,,,,,,,,,,,1247.0166669781659,54.21811595557243,1221.346370602524,53.10201611315322,,55,439f261a429b,-,none
ANCHORED#1,1787701577-1593720,chips at fixed offsets from entry,0,true,2020-21,2019-20,21,18,5,false,970,865,15,0,53.888888888888886,48.05555555555556,,,,,,,886,49.22222222222222,768,42.666666666666664,16,0,,,1.5,16,15,3,7,-10,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,32,23,26,23,0,0,27,0,34,0,,,,,,,,,,,896.1727611432091,49.78737561906717,1013.8731283784629,56.326284909914605,,55,dc98d0376744,-,none
ANCHORED#1,1787701577-1593720,chips at fixed offsets from entry,0,true,2021-22,2020-21,21,18,5,false,1198,928,20,3,66.55555555555556,51.55555555555556,,,,,,,946,52.55555555555556,839,46.611111111111114,16,0,,,1.375,16,20,8,4,5,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,59,25,51,19,0,0,27,0,34,6,,,,,,,,,,,971.4085084485752,53.96713935825417,1157.6732978169384,64.31518321205213,,55,17afedb0c8fd,-,none
ANCHORED#1,1787701577-1593720,chips at fixed offsets from entry,0,true,2022-23,2021-22,21,18,5,false,1179,1149,15,0,65.5,63.833333333333336,,,,,,,1145,63.611111111111114,1000,55.55555555555556,16,0,,,2.5625,16,15,6,2,5,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,36,14,28,10,0,0,27,9,34,18,,,,,,,,,,,1139.265768648044,63.29254270266912,1182.9990229875661,65.72216794375367,,55,99c281b32f56,-,none
ANCHORED#1,1787701577-1593720,chips at fixed offsets from entry,0,true,2023-24,2022-23,21,18,5,false,1159,964,17,0,64.38888888888889,53.55555555555556,,,,,,,954,53,845,46.94444444444444,16,0,,,1.5,16,17,9,4,4,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,21,17,17,17,0,0,27,5,34,9,,,,,,,,,,,996.2801720475503,55.34889844708613,1170.3793873950215,65.02107707750119,,55,a39e1a72098e,-,none
ANCHORED#1,1787701577-1593720,chips at fixed offsets from entry,0,true,2024-25,2023-24,21,18,5,false,1080,956,17,1,60,53.111111111111114,,,,,,,956,53.111111111111114,821,45.611111111111114,16,0,,,1.6875,16,17,11,2,14,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,8,6,8,0,0,27,6,0,0,,,,,,,,,,,978.7329286819744,54.37405159344302,1109.4698627107434,61.6372145950413,,55,606dfdefbccb,-,none
ANCHORED#1,1787701577-1593720,chips at fixed offsets from entry,0,true,2025-26,2024-25,21,18,5,false,1088,942,15,1,60.44444444444444,52.333333333333336,,,,,,,927,51.5,841,46.72222222222222,16,0,,,2.75,16,15,7,5,0,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,27,2,0,0,,,,,,,,,,,912.9456155568754,50.71920086427085,1012.5180252529187,56.25100140293993,,55,73261d35b823,-,none
ANCHORED#1,1787701577-1593720,chips at fixed offsets from entry,0,true,2020-21,2019-20,26,13,5,false,690,626,12,0,53.07692307692308,48.15384615384615,,,,,,,634,48.76923076923077,567,43.61538461538461,11,0,,,1.2727272727272727,11,12,6,4,3,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,12,23,10,11,0,0,32,2,0,0,,,,,,,,,,,661.0222769997476,50.84786746151905,749.6829576736341,57.66791982104878,,55,5fce185dc3f5,-,none
ANCHORED#1,1787701577-1593720,chips at fixed offsets from entry,0,true,2021-22,2020-21,26,13,5,false,755,616,16,4,58.07692307692308,47.38461538461539,,,,,,,614,47.23076923076923,558,42.92307692307692,11,0,,,1.1818181818181819,11,16,6,3,2,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,43,19,28,4,0,0,32,2,38,12,,,,,,,,,,,652.4643864194713,50.18956818611318,814.9259843442973,62.68661418033056,,55,48df38b83639,-,none
ANCHORED#1,1787701577-1593720,chips at fixed offsets from entry,0,true,2022-23,2021-22,26,13,5,false,902,848,10,0,69.38461538461539,65.23076923076923,,,,,,,844,64.92307692307692,732,56.30769230769231,11,0,,,3.272727272727273,11,10,7,0,10,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,28,10,12,4,0,0,32,7,38,5,,,,,,,,,,,822.1060260700225,63.23892508230942,882.9711615006554,67.92085857697349,,55,b4ce40b451a5,-,none
ANCHORED#1,1787701577-1593720,chips at fixed offsets from entry,0,true,2023-24,2022-23,26,13,5,false,844,617,11,0,64.92307692307692,47.46153846153846,,,,,,,619,47.61538461538461,548,42.15384615384615,11,0,,,1.5454545454545454,11,11,5,2,6,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,17,13,15,1,0,0,32,3,38,2,,,,,,,,,,,637.2043322278133,49.01571786367795,809.4045431328287,62.26188793329452,,55,d725094b2efe,-,none
ANCHORED#1,1787701577-1593720,chips at fixed offsets from entry,0,true,2024-25,2023-24,26,13,5,false,686,692,12,1,52.76923076923077,53.23076923076923,,,,,,,692,53.23076923076923,619,47.61538461538461,11,0,,,1.6363636363636365,11,12,8,3,6,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,6,8,6,4,0,0,32,3,0,0,,,,,,,,,,,728.9946771610494,56.076513627773025,743.4991094440335,57.192239188002574,,55,685eecb0cbdb,-,none
ANCHORED#1,1787701577-1593720,chips at fixed offsets from entry,0,true,2025-26,2024-25,26,13,5,false,782,756,9,0,60.15384615384615,58.15384615384615,,,,,,,757,58.23076923076923,655,50.38461538461539,11,0,,,1.8181818181818181,11,9,2,5,-7,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,8,10,8,10,0,0,32,6,0,0,,,,,,,,,,,710.1237686554032,54.62490528118486,735.0663087681634,56.54356221293564,,55,32f63ab9f3ba,-,none
ANCHORED#1,1787701577-1593720,chips anchored on the calendar (full sight),1,false,2020-21,2019-20,1,38,5,false,2104,1628,40,5,55.36842105263158,42.8421052631579,,,,,,,1628,42.8421052631579,1388,36.526315789473685,36,0,,,1.1944444444444444,32,35,8,16,-19,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,43,40,43,40,0,0,26,7,19,8,,,,,,,,,,,1629.8410135822319,42.8905529890061,2110.476529734363,55.538856045641126,,55,98b82c09e797,-,none
ANCHORED#1,1787701577-1593720,chips anchored on the calendar (full sight),1,false,2021-22,2020-21,1,38,5,false,2319,1896,44,7,61.026315789473685,49.89473684210526,,,,,,,1941,51.078947368421055,1646,43.31578947368421,36,0,,,1.4722222222222223,32,41,14,18,-10,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,61,61,61,61,0,0,36,17,26,6,,,,,,,,,,,1900.8006137807054,50.02106878370277,2297.789817788045,60.4681530996854,,55,afeb5fe71ddc,-,none
ANCHORED#1,1787701577-1593720,chips anchored on the calendar (full sight),1,false,2022-23,2021-22,1,38,5,false,2138,1842,33,0,56.26315789473684,48.473684210526315,,,,,,,1845,48.55263157894737,1582,41.63157894736842,36,0,,,3.0833333333333335,32,29,16,5,18,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,42,22,42,22,0,0,29,30,34,18,,,,,,,,,,,1851.9591496843016,48.73576709695531,2168.6418099457387,57.069521314361545,,55,fe5b3efc1102,-,none
ANCHORED#1,1787701577-1593720,chips anchored on the calendar (full sight),1,false,2023-24,2022-23,1,38,5,false,2307,1806,39,2,60.71052631578947,47.526315789473685,,,,,,,1780,46.8421052631579,1569,41.28947368421053,36,0,,,1.6944444444444444,32,35,12,8,7,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,23,23,23,21,0,0,34,0,37,2,,,,,,,,,,,1847.281228959663,48.61266391999113,2293.34828493877,60.351270656283425,,55,7df5f95f1759,-,none
ANCHORED#1,1787701577-1593720,chips anchored on the calendar (full sight),1,false,2024-25,2023-24,1,38,5,false,2457,1908,34,2,64.65789473684211,50.21052631578947,,,,,,,1890,49.73684210526316,1708,44.94736842105263,36,0,,,2.0833333333333335,32,29,13,9,6,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,33,2,0,0,,,,,,,,,,,1984.839567078322,52.23262018627163,2352.5797590880957,61.90999366021305,,55,d0f719155ebc,-,none
ANCHORED#1,1787701577-1593720,chips anchored on the calendar (full sight),1,false,2025-26,2024-25,1,38,5,false,2199,1523,35,1,57.86842105263158,40.078947368421055,,,,,,,1529,40.23684210526316,1375,36.18421052631579,36,0,,,1.4166666666666667,32,30,9,8,-5,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,33,4,0,0,,,,,,,,,,,1583.8646329653097,41.680648235929205,2121.9846278516134,55.84170073293719,,55,cdb305de770a,-,none
ANCHORED#1,1787701577-1593720,chips anchored on the calendar (full sight),1,false,2020-21,2019-20,6,33,5,false,1803,1472,38,6,54.63636363636363,44.60606060606061,,,,,,,1475,44.696969696969695,1289,39.06060606060606,31,0,,,1.2580645161290323,31,38,12,12,2,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,43,40,43,40,0,0,26,0,19,8,,,,,,,,,,,1534.394651048999,46.49680760754543,1827.742365539015,55.38613228906106,,55,97ea61125f1b,-,none
ANCHORED#1,1787701577-1593720,chips anchored on the calendar (full sight),1,false,2021-22,2020-21,6,33,5,false,1881,1574,35,3,57,47.696969696969695,,,,,,,1610,48.78787878787879,1365,41.36363636363637,31,0,,,1.1612903225806452,31,35,12,10,0,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,61,61,61,61,0,0,36,16,26,6,,,,,,,,,,,1609.57570800674,48.77502145474969,1963.6343969316283,59.50407263429177,,55,0e990ffa7a1d,-,none
ANCHORED#1,1787701577-1593720,chips anchored on the calendar (full sight),1,false,2022-23,2021-22,6,33,5,false,1840,1593,30,0,55.75757575757576,48.27272727272727,,,,,,,1532,46.42424242424242,1404,42.54545454545455,31,0,,,2.6129032258064515,31,30,14,6,12,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,42,22,42,16,0,0,29,21,34,18,,,,,,,,,,,1557.4285121108142,47.1948033972974,1865.8619534132897,56.54127131555423,,55,4d36c0997487,-,none
